price_rub,months,ytm_annual_pct,total_income,figi,ticker,name,issuer_name,lot,price_pct,for_qual,junk_score
575.0,20.9,45.68,456.65,TCS00A1092T7,RU000A1092T7,Омега БО-01,Омега БО-01,1,57.5,,70.0
1049.7,12.1,22.82,241.99,BBG00GH12JY2,RU000A0JXPN8,Ростелеком выпуск 2,Ростелеком выпуск 2,1,104.97,,58.52
881.0,11.7,42.12,360.68,TCS00A10BB75,RU000A10BB75,ЕвроТранс БО-001Р-07,ЕвроТранс БО-001Р-07,1,88.1,,100.0
1037.7,6.7,29.77,171.72,BBG00F6NJY77,RU000A0JWYQ5,АФК Система выпуск 4,АФК Система выпуск 4,1,103.77,,37.21
971.4,13.1,21.25,224.94,TCS00A108FG3,RU000A108FG3,Агро-Фрегат БО-01,Агро-Фрегат БО-01,1,97.14,,56.56
940.0,18.7,23.04,337.38,TCS00A1078K5,RU000A1078K5,Ультра БО-02,Ультра БО-02,1,94.0,,28.8
678.0,22.4,29.63,375.6,TCS00A109AU3,RU000A109AU3,АгроДом БО-01,АгроДом БО-01,1,67.8,,57.04
92.83,10.3,23.73,18.94,TCS00A10CL64,RU000A10CL64,Сегежа Групп 003P-07R,Сегежа Групп 003P-07R,1,92.8349,,59.66
963.1,7.8,23.69,148.66,TCS99A107EW5,RU000A107EW5,МФК Джой Мани 001P-01,МФК Джой Мани 001P-01,1,96.31,,29.61
782.2,20.7,45.97,619.18,TCS00A108WJ2,RU000A108WJ2,Бизнес-Лэнд БО-01,Бизнес-Лэнд БО-01,1,78.22,,70.0
967.9,9.5,26.73,204.7,TCS00A107RZ0,RU000A107RZ0,ГК Самолет БО-П13,ГК Самолет БО-П13,1,96.79,,63.41
1000.0,9.5,21.81,172.6,TCS80A107RZ0,RU000A107RZ0,ГК Самолет БО-П13,ГК Самолет БО-П13,1,100.0,,57.26
602.0,17.4,25.14,219.17,TCS00A106Y70,RU000A106Y70,Альфа Дон Транс выпуск 1,Альфа Дон Транс выпуск 1,1,86.0,,51.43
669.92,20.9,28.53,332.31,BBG01L7NP818,RU000A107P47,Центр-Резерв БО-03,Центр-Резерв БО-03,1,83.74,,55.66
957.7,16.1,28.09,360.18,TCS00A1098T4,RU000A1098T4,СибСульфур БО-01-001P,СибСульфур БО-01-001P,1,95.77,,35.11
907.8,15.5,24.2,284.44,TCS00A106MW0,RU000A106MW0,ТГК-14 выпуск 2,ТГК-14 выпуск 2,1,90.78,,30.25
1000.0,13.9,23.89,277.35,TCS10A107GU4,RU000A107GU4,МФК Быстроденьги 002P-04,МФК Быстроденьги 002P-04,1,100.0,,59.86
1045.4,12.0,20.15,211.04,TCS00A10BFP3,RU000A10BFP3,МВ Финанс 001P-06,МВ Финанс 001P-06,1,104.54,,55.19
992.5,6.2,24.89,127.17,BBG01JZG9LW2,RU000A107225,Частная пивоварня Афанасий БО-01,Частная пивоварня Афанасий БО-01,1,99.25,,31.11
1018.8,7.9,20.4,136.54,TCS99A107G63,RU000A107G63,Джетленд БО-01,Джетленд БО-01,1,101.88,,25.5
927.5,14.3,29.2,321.8,TCS00A108RK0,RU000A108RK0,ТД РКС 002Р-04,ТД РКС 002Р-04,1,92.75,,66.5
394.88,8.0,22.54,58.97,TCS00A105LS2,RU000A105LS2,Реиннольц,Реиннольц,1,98.72,,28.18
969.8,8.0,20.36,132.42,TCS00A104A39,RU000A104A39,ИНК-Капитал выпуск 1,ИНК-Капитал выпуск 1,1,96.98,,25.45
1021.5,9.5,21.52,173.94,TCS00A10ASF9,RU000A10ASF9,Сибстекло БО-01,Сибстекло БО-01,1,102.15,,56.9
1002.4,19.2,32.46,521.13,TCS00A10A3Q3,RU000A10A3Q3,Антерра БО-03,Антерра БО-03,1,100.24,,40.58
1001.4,6.8,26.11,148.2,TCS10A105DS9,RU000A105DS9,АПРИ Флай Плэнинг,АПРИ Флай Плэнинг,1,100.14,,32.64
960.0,8.2,20.21,132.26,TCS00A105MP6,RU000A105MP6,Домодедово Фьюэл Фасилитис,Домодедово Фьюэл Фасилитис,1,96.0,,25.26
960.0,6.7,20.3,108.32,TCS10A1010B7,RU000A1010B7,Транснефть БО-001P-13,Транснефть БО-001P-13,1,96.0,,25.38
968.6,7.3,21.61,126.64,TCS00A104362,RU000A104362,Восточная Стивидорная Компания выпуск 2,Восточная Стивидорная Компания выпуск 2,1,96.86,,27.01
779.94,16.8,23.09,251.91,BBG012STNNH6,RU000A103TS0,ТЕХНО Лизинг выпуск 5,ТЕХНО Лизинг выпуск 5,1,86.66,,48.86
947.0,9.4,25.41,187.78,BBG01LC2XW43,RU000A107QM0,Бизнес Альянс 001Р-04,Бизнес Альянс 001Р-04,1,94.7,,61.76
1003.0,15.6,22.95,299.4,TCS00A1097X8,RU000A1097X8,Бианка Премиум БО-01,Бианка Премиум БО-01,1,100.3,,28.69
772.6,11.1,43.53,311.22,TCS00A1061K1,RU000A1061K1,ЕвроТранс БО-001P-03,ЕвроТранс БО-001P-03,1,77.26,,100.0
993.9,21.8,21.26,384.22,TCS00A10E9Z7,RU000A10E9Z7,МКАО Воксис 001Р-02,МКАО Воксис 001Р-02,1,99.39,,26.58
909.6,15.4,24.68,287.68,TCS00A1053H4,RU000A1053H4,Лизинг-Трейд 001P-05,Лизинг-Трейд 001P-05,1,90.96,,30.85
1000.0,22.0,27.27,500.94,TCS20A10AYU6,RU000A10AYU6,МФК Мани Мен обб01,МФК Мани Мен обб01,1,100.0,,34.09
